band_name,fans,formed,origin,split,style,soup
Iron Maiden,4195,1975,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Opeth,4147,1990,Sweden,1990,Extreme progressive Progressive rock Progressive,Extreme progressive Progressive rock Progressive Sweden
Metallica,3712,1981,USA,-,Heavy Bayarea thrash,Heavy Bayarea thrash USA
Megadeth,3105,1983,USA,1983,Thrash Heavy Hard rock,Thrash Heavy Hard rock USA
Amon Amarth,3054,1988,Sweden,-,Melodic death,Melodic death Sweden
Slayer,2955,1981,USA,1981,Thrash,Thrash USA
Death,2690,1983,USA,2001,Progressive death Death Progressive thrash,Progressive death Death Progressive thrash USA
Dream Theater,2329,1985,USA,1985,Progressive,Progressive USA
Black Sabbath,2307,1968,United Kingdom,-,Doom Heavy Hard rock,Doom Heavy Hard rock United Kingdom
Nightwish,2183,1996,Finland,1996,Symphonic power Gothic Symphonic,Symphonic power Gothic Symphonic Finland
Children Of Bodom,2153,1993,Finland,-,Extreme power,Extreme power Finland
Judas Priest,2094,1969,United Kingdom,1969,Heavy Hard rock,Heavy Hard rock United Kingdom
Blind Guardian,2040,1984,Germany,-,Power Speed,Power Speed Germany
In Flames,1932,1990,Sweden,1990,Gothenburg Alternative,Gothenburg Alternative Sweden
Pantera,1920,1981,USA,2003,Heavy Groove thrash Groove metal,Heavy Groove thrash Groove metal USA
Dark Tranquillity,1898,1989,Sweden,1989,Gothenburg,Gothenburg Sweden
Agalloch,1881,1995,USA,2016,Atmospheric black Neofolk,Atmospheric black Neofolk USA
Ensiferum,1879,1995,Finland,1995,Extreme folk,Extreme folk Finland
Arch Enemy,1750,1996,Sweden,-,Gothenburg,Gothenburg Sweden
Katatonia,1735,1991,Sweden,1991,Blackened doom Death doom Alternative rock Gothic doom,Blackened doom Death doom Alternative rock Gothic doom Sweden
Behemoth,1721,1991,Poland,-,Death Black Blackened death,Death Black Blackened death Poland
Dimmu Borgir,1688,1993,Norway,1993,Symphonic black Black,Symphonic black Black Norway
Kreator,1646,1982,Germany,-,Teutonic thrash,Teutonic thrash Germany
Wintersun,1640,2004,Finland,2004,Extreme power,Extreme power Finland
Insomnium,1547,1997,Finland,-,Melodic death,Melodic death Finland
Amorphis,1528,1990,Finland,1990,Death Melodic death Folk Progressive,Death Melodic death Folk Progressive Finland
Kamelot,1520,1991,USA,-,Symphonic power,Symphonic power USA
Tool,1506,1988,USA,1988,Progressive Alternative,Progressive Alternative USA
Helloween,1501,1978,Germany,-,Speed Power,Speed Power Germany
Testament,1500,1983,USA,1983,Bayarea thrash,Bayarea thrash USA
Epica,1450,2002,The Netherlands,-,Symphonic,Symphonic The Netherlands
Immortal,1436,1990,Norway,1990,Death Black,Death Black Norway
Lamb Of God,1433,1999,USA,-,Groove thrash,Groove thrash USA
Iced Earth,1403,1985,USA,1985,Heavy Us power,Heavy Us power USA
Anathema,1400,1990,United Kingdom,-,Death doom Atmospheric rock Doom,Death doom Atmospheric rock Doom United Kingdom
Symphony X,1343,1994,USA,1994,Progressive Symphonic power,Progressive Symphonic power USA
Eluveitie,1328,2002,Switzerland,-,Celtic folk Gothenburg,Celtic folk Gothenburg Switzerland
